
Mes: February | Año: 2024
+--------------------------------+----------+---------+
|          Descripción           | Cantidad | Importe |
|         1,276 kg 1,45          |  1,276   |  1,27   |
|     1SALSA FINA KRAFT 2,00     |    1     |  2,00   |
|     1PECHUGA FAMILIAR 7,11     |    1     |  7,11   |
|          1NACHOS 0,90          |    1     |  0,90   |
|   1CACAHUETE DESGRASADO 2,75   |    1     |  2,75   |
|      1BOLSA PLASTICO 0,15      |    1     |  0,15   |
|          2TROPICAL S           |    2     |  0,70   |
|   1PAN BLANCO FAMILIAR 1,25    |    1     |  1,25   |
|   1JAMON JUGOSO LONCHAS 1,82   |    1     |  1,82   |
|   1LECHE DESN. PROT P6 7,50    |    1     |  7,50   |
|         1,684 kg 1,45          |  1,684   |  1,68   |
|      1BOLSA PLASTICO 0,15      |    1     |  0,15   |
|   1TOMATE NATURAL RALLA 1,39   |    1     |  1,39   |
|     1GUACAMOLE 500 GR 3,59     |    1     |  3,59   |
|        1PAN DE LECHE 3         |    1     |  1,60   |
|   1QUESO RALLADO PIZZA 1,54    |    1     |  1,54   |
|   1JAMÓN SERRANO SOBRE 4,10    |    1     |  4,10   |
|          2TROPICAL S           |    2     |  0,70   |
|         1,336 kg 1,45          |  1,336   |  1,33   |
|   1SALSA DE SOJA SALADA 1,40   |    1     |  1,40   |
|    2BRONCHALES 6L 1,26 2,52    |    2     |  1,26   |
|   1COMPRIMIDOS VITAMINA 3,00   |    1     |  3,00   |
|    1COMPRIMIDOS DORMIR 3,95    |    1     |  3,95   |
|     1CÁPSULAS MEMORY 3,95      |    1     |  3,95   |
|     1MERMELADA FRESA 1,55      |    1     |  1,55   |
|     1ARROZ VAPORIZADO 1,54     |    1     |  1,54   |
|   1GALLETAS MANTEQUILLA 2,85   |    1     |  2,85   |
|          2TROPICAL S           |    2     |  0,70   |
|          1NACHOS 0,90          |    1     |  0,90   |
|      1BOLSA PLASTICO 0,15      |    1     |  0,15   |
+--------------------------------+----------+---------+
